"Reference","Qty","Value","Footprint","Datasheet"
"A1","1","Arduino_Nano_Every","Module:Arduino_Nano","https://content.arduino.cc/assets/NANOEveryV3.0_sch.pdf"
"C1,C5,C13","3","1u","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"C2,C4","2","optional","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"C3,C6","2","10u","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"C7","1","1nF","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"C8","1","470nF","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"C9,C10","2","22pF","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"D1","1","D","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"J1","1","Conn_01x06_Pin","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J2,J6,J10","3","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J3,J5,J12,J14,J15,J16","6","Conn_01x01_Pin","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","~"
"J4","1","Conn_Coaxial","Connector_Coaxial:BNC_TEConnectivity_1478035_Horizontal","~"
"J7","1","Conn_01x04_Pin","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"J8","1","Conn_01x14_Pin","Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Vertical","~"
"J9","1","Conn_01x14_Pin","Connector_PinSocket_2.54mm:PinSocket_1x14_P2.54mm_Vertical","~"
"J11,J13","2","Conn_02x04_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"LS1","1","Speaker","","~"
"Q1","1","BC547","Package_TO_SOT_THT:TO-92L_Inline_Wide","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"R1,R4,R6","3","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R2","1","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3","1","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R5","1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV1","1","50k","Library:AlpsPot","~"
"SW1,SW2,SW3,SW4,SW5,SW6","6","SW_Push","Library:PushButton","~"
"SW7","1","SW_SPDT","Library:Switch","~"
"SW8","1","RotaryEncoder_Switch","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","~"
"U2","1","LM386","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm386.pdf"
"U3,U5","2","Aux_flush","Library:3mm5 Mono Aux",""
"U4","1","TL072","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U6","1","L7805","Package_TO_SOT_SMD:TO-252-3_TabPin2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U9","1","SI4732","Package_SO:SOIC-16_4.55x10.3mm_P1.27mm",""
"Y1","1","32.768 kHz","Crystal:Crystal_DS26_D2.0mm_L6.0mm_Vertical","~"
